クエストID,クエスト名,ワールド名上段,ワールド名下段,依頼主,クエスト内容１,クエスト内容2,クエスト内容3,クエスト内容4,クエスト内容5,クエスト内容6,クエスト内容7,受注制限,難易度,成功報酬,失敗報酬,備考1,備考2,備考3,分類タグ,PC対応,android対応
0010,Eランク昇級試験,,クエストカウンターでご確認ください,冒険者ギルドアトラス,Eランク昇級試験,剣術講習で身に着けた,内容の総復習となります。,試験官の指示どおりの型を振る。,もしくは試験官の振った,型を答えること。,,剣術講習を全て受講済みであること。,★★☆☆☆,0P,0P,Eランクへの昇級試験,,,昇級,☑,☑
0073,Eランク昇格申請,,当ワールド：総合窓口,ギルドマスター,皆さん日々のクエスト遂行おつかれですの。,冒険者PTをたくさん溜めてくださった,冒険者さんにお知らせですの！,この度累計冒険者PTが50PTになった方を,Eランクに昇格することになりましたの。,総合窓口にこのクエストを持ってきて,くださいですの～。,累計冒険者ＰＴが50ＰＴ以上,★☆☆☆☆,0P,0P,累計冒険者PTが不明な場合も,総合窓口で確認してね！,,昇級,☑,☑
0081,Dランク昇格申請,,当ワールド：総合窓口,総合窓口職員,Eランクに上がってからもたくさんの,クエストをこなしてくれてありがとう！,たくさんの実績を残してくれた冒険者は,ついにDランクにランクアップできるよ。,現状のポイントを確認して窓口に来てね。,,,累計冒険者ＰＴが125ＰＴ以上,★☆☆☆☆,0P,0P,累計冒険者PTが不明な場合も,総合窓口で確認してね！,,昇級,☑,☑
0050,めいすたーずにようこそ,めいすたーずイベント会場,(グループ＋のインスタンスになります）,もみーちゃん,毎週金曜日にめいすたーずのイベント,やってるもみよ！,みんな遊びに来てほしいもみよ～,,21:00～　ダンス練習(見学可),22:00～　めいすたーずカフェ,グループ名：めいすたーずファンクラブ,特になし,★☆☆☆☆,20P,0P,楽しく遊んできたお写真をXに投稿してね,ハッシュタグ：#クエスト報告_アトラス,#めいすたーず #めいすたーずかふぇ,イベント,☑,☐
0036,お願いがありますの！,,冒険喫茶ギルドアトラス,陸野こがね,冒険者の皆様にお願いがありますの,定期的にアトラスで配信をしているのだけど,是非皆様にもアトラスにきてほしいですの！,もっとアトラスを盛り上げるために,協力をよろしくお願いしますわ！,,,特になし(期間限定),★☆☆☆☆,10P,0P,共有ボタンを押してXにポストしてね,コメントなどしてくれたらギルマスから,ボーナス報酬貰えちゃうかも！,調査,☐,☐
0086,見つけて欲しいんだ！,,愛知県清須市,ギルド職員,11/15～12/25にかけて愛知県清須市にて,きよすイルミと言うイベントが開催,されるらしい！なんとそのイベントで,うちのギルドマスターの名前が書かれた,提灯が見られるらしいんだ！,どうしても気になるから写真を,撮ってきて見せてくれないか？,特になし,★☆☆☆☆,15P,10P,詳細はポスターをご確認ください。,提灯のお写真が撮れなくても会場に,きたことがわかれば失敗報酬があります。,期間限定,☑,☑
0060,旅人の忘れ物,,出立ちの際には,名無しの旅人,この前とある海辺の大図書館に旅に,行った際ゴーグルを忘れて来てしまった。,また今度遊びに行くと大図書館にいる,二足歩行の猫に伝えていてその際に取りに,行くから見つけたら彼に預けておいて,くれないかい？よろしく頼むよ！,,特になし,★☆☆☆☆,5P,0P,特になし,,,採取,☑,☐
0083,爆弾魔の犯行阻止,Killer in The Crowd,ENOCHLOPHOBIA,地元の警察官,地元のメディアに爆破予告文が送られた。,どうやら犯人はビルを爆破するのが目的で,実行されると大勢の犠牲者がでてしまう。,私達は顔が割れておりビルに接近ができない,そこで、君たち冒険者の手を借りたい。,時間は３０分しかないので速やかにかつ,安全に爆弾を解体してほしい。,Eランク以上,★★☆☆☆,15P,0P,ワールド定員８名,,,討伐,☑,☑
0005,娘のお気に入り,A Simple,Fishing World,壮年の村人,娘が池の近くで遊んでいた時に長靴を,落としてしまったみたいなんです。,気に入っていたものだったので,池から回収できないでしょうか？,,,,特になし,★☆☆☆☆,5P,0P,推奨人数：1人,黄色い靴を釣り上げ写真撮影,,採取,☑,☑
0096,落ちた星を追いかけて,,砂と星の海-Voyage of Imagination,砂漠の星を見たい職員,この世界には様々な遺物・・・,その中で興味を持っているもの、その１つに,落ちた星と呼ばれるものがあるそうで・・・,,その星を写真でいいので,記録していただけると助かります・・・,,特になし,★☆☆☆☆,6P,0P,特になし,,,調査,☑,☐
